fetched_at,game_date,home_team,away_team,commence_time,sportsbook,market,player_name,line,over_odds,under_odds,mlb_id,kind,proj_value,p_over_model,p_over_no_vig,edge_over,edge_under,ev_over,ev_under,side,ev,flag,score,confidence_weight,confidence_score
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_hits,Brice Turang,0.5,-207,154,668930.0,hitter,1.0,0.5829,0.6314,-0.0484,0.0484,-0.1354,0.0593,UNDER,0.0593,PASS,0.0652,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_hits,Munetaka Murakami,0.5,-167,125,808959.0,hitter,1.24,0.6619,0.5846,0.0773,-0.0773,0.0583,-0.2393,OVER,0.0583,PASS,0.0641,1.1,96
2026-05-24 01:57 ET,2026-05-24,Philadelphia Phillies,Cleveland Guardians,2026-05-24T17:36:00Z,draftkings,batter_hits,Trea Turner,1.5,187,-254,607208.0,hitter,0.935,0.2409,0.3269,-0.086,0.086,-0.3086,0.058,UNDER,0.058,PASS,0.0638,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_hits,Rafael Devers,0.5,-184,138,646240.0,hitter,0.94,0.5604,0.6066,-0.0463,0.0463,-0.1351,0.0464,UNDER,0.0464,PASS,0.051,1.1,88
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_hits,Zach McKinstry,0.5,-177,132,656716.0,hitter,1.26,0.6678,0.5972,0.0706,-0.0706,0.045,-0.2292,OVER,0.045,PASS,0.0495,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_hits,Jonathan Aranda,0.5,-198,148,666018.0,hitter,0.99,0.5793,0.6223,-0.043,0.043,-0.1281,0.0434,UNDER,0.0434,PASS,0.0477,1.1,82
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_runs_scored,Daulton Varsho,0.5,119,-166,662139.0,hitter,0.43,0.3495,0.4225,-0.073,0.073,-0.2346,0.0424,UNDER,0.0424,PASS,0.0466,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_hits,Jacob Young,0.5,-156,117,696285.0,hitter,1.15,0.6342,0.5694,0.0648,-0.0648,0.0408,-0.2063,OVER,0.0408,PASS,0.0449,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_hits,Luis Arraez,1.5,190,-259,650333.0,hitter,0.96,0.2492,0.3234,-0.0742,0.0742,-0.2773,0.0407,UNDER,0.0407,PASS,0.0448,1.1,88
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,Bo Bichette,1.5,155,-208,666182.0,hitter,1.11,0.2978,0.3674,-0.0696,0.0696,-0.2407,0.0398,UNDER,0.0398,PASS,0.0438,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_total_bases,Brice Turang,1.5,141,-189,668930.0,hitter,1.18,0.3203,0.3882,-0.0679,0.0679,-0.2281,0.0394,UNDER,0.0394,PASS,0.0433,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_hits,Casey Schmitt,0.5,-190,142,669477.0,hitter,0.97,0.572,0.6132,-0.0413,0.0413,-0.127,0.0358,UNDER,0.0358,PASS,0.0394,1.1,88
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_total_bases,Mookie Betts,1.5,120,-159,605141.0,hitter,1.67,0.4697,0.4254,0.0443,-0.0443,0.0333,-0.1362,OVER,0.0333,PASS,0.0367,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_hits,Daniel Susac,0.5,-168,126,691740.0,hitter,0.899,0.5444,0.5862,-0.0419,0.0419,-0.1316,0.0297,UNDER,0.0297,PASS,0.0327,1.1,88
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_hits,Kyle Tucker,0.5,-193,144,663656.0,hitter,0.99,0.5793,0.6165,-0.0372,0.0372,-0.1206,0.0265,UNDER,0.0265,PASS,0.0292,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_hits,Ryan Kreidler,0.5,-121,-110,668952.0,hitter,0.94,0.5605,0.5111,0.0494,-0.0494,0.0237,-0.1609,OVER,0.0237,PASS,0.0261,1.1,96
2026-05-24 01:57 ET,2026-05-24,Philadelphia Phillies,Cleveland Guardians,2026-05-24T17:36:00Z,draftkings,batter_hits,Steven Kwan,0.5,-183,137,680757.0,hitter,0.96,0.5681,0.6051,-0.037,0.037,-0.1215,0.0236,UNDER,0.0236,PASS,0.026,1.1,96
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,Brett Baty,0.5,-175,131,683146.0,hitter,1.2,0.6499,0.5951,0.0547,-0.0547,0.0212,-0.1912,OVER,0.0212,PASS,0.0234,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_hits,Jarren Duran,0.5,-237,175,680776.0,hitter,1.446,0.7177,0.6592,0.0585,-0.0585,0.0205,-0.2236,OVER,0.0205,PASS,0.0226,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_runs_scored,Brandon Lowe,0.5,128,-178,664040.0,hitter,0.43,0.3495,0.4065,-0.057,0.057,-0.2032,0.016,UNDER,0.016,PASS,0.0176,1.1,96
2026-05-24 01:57 ET,2026-05-24,Philadelphia Phillies,Cleveland Guardians,2026-05-24T17:36:00Z,draftkings,batter_total_bases,Travis Bazzana,1.5,149,-200,683953.0,hitter,1.2,0.3267,0.3759,-0.0493,0.0493,-0.1866,0.01,UNDER,0.01,PASS,0.011,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_hits,Brooks Lee,0.5,-172,129,686797.0,hitter,1.16,0.6374,0.5915,0.0459,-0.0459,0.008,-0.1697,OVER,0.008,PASS,0.0088,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_hits,Nick Gonzales,0.5,-203,152,693304.0,hitter,1.05,0.6008,0.628,-0.0272,0.0272,-0.1033,0.006,UNDER,0.006,PASS,0.0066,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_total_bases,Daylen Lile,1.5,148,-199,695734.0,hitter,1.22,0.3331,0.3773,-0.0442,0.0442,-0.174,0.0021,UNDER,0.0021,PASS,0.0023,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_hits,Brandon Lowe,0.5,-170,128,664040.0,hitter,0.94,0.5605,0.5894,-0.0289,0.0289,-0.1098,0.0021,UNDER,0.0021,PASS,0.0023,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_hits,Junior Caminero,0.5,-221,164,691406.0,hitter,1.32,0.6848,0.6451,0.0397,-0.0397,-0.0054,-0.1678,OVER,-0.0054,PASS,-0.0059,1.1,82
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_rbis,Nick Gonzales,0.5,190,-270,693304.0,hitter,0.42,0.343,0.3209,0.0221,-0.0221,-0.0054,-0.0996,OVER,-0.0054,PASS,-0.006,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_hits,Cody Bellinger,0.5,-173,130,641355.0,hitter,0.961,0.5686,0.5931,-0.0245,0.0245,-0.1027,-0.0078,UNDER,-0.0078,PASS,-0.0085,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_hits,Daylen Lile,0.5,-213,159,695734.0,hitter,1.1,0.6179,0.638,-0.0201,0.0201,-0.092,-0.0103,UNDER,-0.0103,PASS,-0.0113,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_rbis,Vladimir Guerrero Jr.,0.5,195,-277,665489.0,hitter,0.32,0.2739,0.3157,-0.0419,0.0419,-0.1921,-0.0117,UNDER,-0.0117,PASS,-0.0129,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_runs_scored,Nick Gonzales,0.5,168,-236,693304.0,hitter,0.46,0.3687,0.3469,0.0218,-0.0218,-0.0118,-0.1012,OVER,-0.0118,PASS,-0.013,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_runs_scored,Ernie Clement,0.5,172,-242,676391.0,hitter,0.36,0.3023,0.3419,-0.0396,0.0396,-0.1777,-0.014,UNDER,-0.014,PASS,-0.0154,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_total_bases,Dylan Crews,1.5,144,-192,686611.0,hitter,1.28,0.3521,0.384,-0.0319,0.0319,-0.1409,-0.0146,UNDER,-0.0146,PASS,-0.0161,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_runs_scored,Brandon Valenzuela,0.5,179,-252,678218.0,hitter,0.35,0.2953,0.3336,-0.0383,0.0383,-0.1761,-0.0157,UNDER,-0.0157,PASS,-0.0172,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_rbis,George Springer,0.5,200,-285,543807.0,hitter,0.32,0.2739,0.3105,-0.0366,0.0366,-0.1784,-0.0191,UNDER,-0.0191,PASS,-0.021,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_hits,Andrew Benintendi,0.5,-164,123,643217.0,hitter,0.94,0.5605,0.5808,-0.0203,0.0203,-0.0978,-0.0199,UNDER,-0.0199,PASS,-0.0219,1.1,96
2026-05-24 01:57 ET,2026-05-24,Philadelphia Phillies,Cleveland Guardians,2026-05-24T17:36:00Z,draftkings,batter_hits,Travis Bazzana,0.5,-201,150,683953.0,hitter,1.08,0.6111,0.6254,-0.0143,0.0143,-0.0848,-0.0278,UNDER,-0.0278,PASS,-0.0306,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_total_bases,Ozzie Albies,1.5,116,-155,645277.0,hitter,1.471,0.4112,0.4323,-0.0212,0.0212,-0.1119,-0.0313,UNDER,-0.0313,PASS,-0.0344,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_hits,Hyeseong Kim,0.5,-134,101,808975.0,hitter,0.84,0.5203,0.5351,-0.0148,0.0148,-0.0914,-0.0358,UNDER,-0.0358,PASS,-0.0394,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_hits,Jac Caglianone,0.5,-157,118,695506.0,hitter,0.933,0.5577,0.5711,-0.0134,0.0134,-0.087,-0.0358,UNDER,-0.0358,PASS,-0.0394,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_hits,Spencer Horwitz,0.5,-151,113,687462.0,hitter,0.99,0.5793,0.5617,0.0176,-0.0176,-0.0371,-0.1039,OVER,-0.0371,PASS,-0.0408,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_rbis,Brandon Valenzuela,0.5,251,-365,678218.0,hitter,0.32,0.2739,0.2663,0.0076,-0.0076,-0.0388,-0.0749,OVER,-0.0388,PASS,-0.0427,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_rbis,Daulton Varsho,0.5,175,-248,662139.0,hitter,0.38,0.3161,0.3379,-0.0217,0.0217,-0.1306,-0.0404,UNDER,-0.0404,PASS,-0.0444,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_hits,Brandon Valenzuela,0.5,-133,100,678218.0,hitter,0.9,0.5448,0.5331,0.0118,-0.0118,-0.0455,-0.0897,OVER,-0.0455,PASS,-0.0501,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_hits,Ozzie Albies,0.5,-260,191,645277.0,hitter,1.333,0.6884,0.6776,0.0108,-0.0108,-0.0469,-0.0931,OVER,-0.0469,PASS,-0.0516,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_total_bases,Junior Caminero,1.5,127,-169,691406.0,hitter,1.44,0.4018,0.4122,-0.0104,0.0104,-0.088,-0.0478,UNDER,-0.0478,PASS,-0.0525,1.1,82
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_hits,Dylan Crews,0.5,-205,153,686611.0,hitter,1.16,0.6374,0.6297,0.0077,-0.0077,-0.0517,-0.0826,OVER,-0.0517,PASS,-0.0568,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_hits,Paul Goldschmidt,0.5,-139,105,502671.0,hitter,0.913,0.5499,0.5438,0.006,-0.006,-0.0545,-0.0772,OVER,-0.0545,PASS,-0.06,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_rbis,Brandon Lowe,0.5,214,-307,664040.0,hitter,0.34,0.2882,0.2969,-0.0086,0.0086,-0.095,-0.0564,UNDER,-0.0564,PASS,-0.062,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_hits,Kody Clemens,0.5,-154,116,665019.0,hitter,0.97,0.5719,0.567,0.0048,-0.0048,-0.0568,-0.0752,OVER,-0.0568,PASS,-0.0625,1.1,96
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,Kyle Stowers,0.5,-171,128,669065.0,hitter,1.02,0.5902,0.5899,0.0002,-0.0002,-0.0647,-0.0656,OVER,-0.0647,PASS,-0.0712,1.1,96
