fetched_at,game_date,home_team,away_team,commence_time,sportsbook,market,player_name,line,over_odds,under_odds,mlb_id,kind,proj_value,p_over_model,p_over_no_vig,edge_over,edge_under,ev_over,ev_under,side,ev,flag,score,confidence_weight,confidence_score
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_hits,Michael Massey,0.5,-141,106,686681.0,hitter,0.255,0.2001,0.5465,-0.3464,0.3464,-0.658,0.6478,UNDER,0.6478,REVIEW,0.7126,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_hits,Isaac Paredes,0.5,-201,150,670623.0,hitter,0.48,0.3428,0.6254,-0.2826,0.2826,-0.4866,0.643,UNDER,0.643,REVIEW,0.7073,1.1,96
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,Javier Sanoja,0.5,-178,133,691594.0,hitter,0.4,0.2952,0.5987,-0.3035,0.3035,-0.539,0.6422,UNDER,0.6422,REVIEW,0.7064,1.1,96
2026-05-24 01:57 ET,2026-05-24,Boston Red Sox,Minnesota Twins,2026-05-24T17:36:00Z,draftkings,batter_total_bases,Jarren Duran,1.5,111,-148,680776.0,hitter,3.073,0.771,0.4426,0.3284,-0.3284,0.6269,-0.6163,OVER,0.6269,REVIEW,0.6896,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_hits,Ben Rice,0.5,-187,140,700250.0,hitter,0.456,0.3291,0.6099,-0.2809,0.2809,-0.4949,0.6102,UNDER,0.6102,REVIEW,0.6712,1.1,96
2026-05-24 01:57 ET,2026-05-24,Philadelphia Phillies,Cleveland Guardians,2026-05-24T17:36:00Z,draftkings,batter_hits,J.T. Realmuto,0.5,-159,119,592663.0,hitter,0.36,0.2702,0.5735,-0.3033,0.3033,-0.5599,0.5982,UNDER,0.5982,REVIEW,0.6581,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_hits,Willy Adames,0.5,-176,132,642715.0,hitter,0.439,0.3189,0.5967,-0.2777,0.2777,-0.4999,0.5801,UNDER,0.5801,REVIEW,0.6381,1.1,88
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_hits,Spencer Torkelson,0.5,-143,107,679529.0,hitter,0.31,0.2375,0.5492,-0.3117,0.3117,-0.5965,0.5784,UNDER,0.5784,REVIEW,0.6363,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_hits,Dansby Swanson,0.5,-152,115,621020.0,hitter,0.368,0.2752,0.5646,-0.2894,0.2894,-0.5438,0.5583,UNDER,0.5583,REVIEW,0.6142,1.1,96
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,Marcus Semien,0.5,-175,131,543760.0,hitter,0.46,0.3312,0.5951,-0.2639,0.2639,-0.4795,0.5449,UNDER,0.5449,REVIEW,0.5994,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_hits,Kazuma Okamoto,0.5,-169,127,672960.0,hitter,0.44,0.3194,0.5878,-0.2684,0.2684,-0.4916,0.5449,UNDER,0.5449,REVIEW,0.5994,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_hits,Jake Meyers,0.5,-155,117,676694.0,hitter,0.39,0.289,0.5688,-0.2798,0.2798,-0.5246,0.5429,UNDER,0.5429,REVIEW,0.5972,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_hits,Christian Walker,0.5,-168,126,572233.0,hitter,0.44,0.3194,0.5862,-0.2668,0.2668,-0.4905,0.5381,UNDER,0.5381,REVIEW,0.5919,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_hits,Sal Frelick,0.5,-157,118,686217.0,hitter,0.4,0.2952,0.5711,-0.276,0.276,-0.5168,0.5365,UNDER,0.5365,REVIEW,0.5901,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_hits,Harrison Bader,0.5,-152,114,664056.0,hitter,0.388,0.2878,0.5635,-0.2756,0.2756,-0.5228,0.5241,UNDER,0.5241,REVIEW,0.5765,1.1,88
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_hits,Michael Busch,0.5,-167,126,683737.0,hitter,0.453,0.3271,0.5857,-0.2586,0.2586,-0.4771,0.5208,UNDER,0.5208,REVIEW,0.5729,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_total_bases,J.P. Crawford,1.5,122,-163,641487.0,hitter,0.32,0.058,0.4209,-0.3629,0.3629,-0.8711,0.5198,UNDER,0.5198,REVIEW,0.5718,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_hits,Cedric Mullins,0.5,-146,110,656775.0,hitter,0.37,0.2764,0.5548,-0.2784,0.2784,-0.5342,0.5195,UNDER,0.5195,REVIEW,0.5714,1.1,82
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,Connor Norby,0.5,-163,123,681393.0,hitter,0.44,0.3194,0.5802,-0.2608,0.2608,-0.4846,0.5177,UNDER,0.5177,REVIEW,0.5695,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_hits,Jackson Chourio,0.5,-207,154,694192.0,hitter,0.59,0.4031,0.6314,-0.2283,0.2283,-0.4022,0.5162,UNDER,0.5162,REVIEW,0.5678,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_total_bases,Aaron Judge,1.5,122,-162,592450.0,hitter,0.344,0.064,0.4215,-0.3575,0.3575,-0.858,0.5138,UNDER,0.5138,REVIEW,0.5652,1.1,96
2026-05-24 01:57 ET,2026-05-24,Miami Marlins,New York Mets,2026-05-24T17:41:00Z,draftkings,batter_hits,Owen Caissie,0.5,-115,-115,683357.0,hitter,0.26,0.2034,0.5,-0.2966,0.2966,-0.6198,0.4893,UNDER,0.4893,REVIEW,0.5383,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_hits,Seiya Suzuki,0.5,-161,121,673548.0,hitter,0.453,0.3271,0.5769,-0.2498,0.2498,-0.4698,0.4872,UNDER,0.4872,REVIEW,0.5359,1.1,96
2026-05-24 01:57 ET,2026-05-24,Baltimore Orioles,Detroit Tigers,2026-05-24T16:36:00Z,draftkings,batter_hits,Gage Workman,0.5,-130,-102,669398.0,hitter,0.33,0.2507,0.5282,-0.2775,0.2775,-0.5565,0.4839,UNDER,0.4839,REVIEW,0.5323,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_hits,Mitch Garver,0.5,-157,118,641598.0,hitter,0.44,0.3194,0.5711,-0.2517,0.2517,-0.4771,0.4837,UNDER,0.4837,REVIEW,0.532,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_hits,Zach Cole,0.5,-115,-116,805904.0,hitter,0.26,0.2034,0.499,-0.2956,0.2956,-0.6198,0.4834,UNDER,0.4834,REVIEW,0.5317,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_total_bases,Ian Happ,1.5,128,-171,664023.0,hitter,0.35,0.0655,0.4101,-0.3446,0.3446,-0.8507,0.481,UNDER,0.481,REVIEW,0.5291,1.1,96
2026-05-24 01:57 ET,2026-05-24,Chicago Cubs,Houston Astros,2026-05-24T18:21:00Z,draftkings,batter_hits,Carson Kelly,0.5,-147,111,608348.0,hitter,0.406,0.2987,0.5567,-0.258,0.258,-0.4981,0.4797,UNDER,0.4797,REVIEW,0.5277,1.1,96
2026-05-24 01:57 ET,2026-05-24,New York Yankees,Tampa Bay Rays,2026-05-24T17:36:00Z,draftkings,batter_hits,Taylor Walls,0.5,-135,102,670764.0,hitter,0.37,0.2764,0.5371,-0.2607,0.2607,-0.5188,0.4616,UNDER,0.4616,REVIEW,0.5077,1.1,82
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_total_bases,Vinnie Pasquantino,1.5,115,-153,686469.0,hitter,0.545,0.1189,0.4347,-0.3158,0.3158,-0.7443,0.4569,UNDER,0.4569,REVIEW,0.5026,1.1,96
2026-05-24 01:57 ET,2026-05-24,San Francisco Giants,Chicago White Sox,2026-05-24T20:06:00Z,draftkings,batter_total_bases,Miguel Vargas,1.5,121,-162,678246.0,hitter,0.51,0.1087,0.4226,-0.3139,0.3139,-0.7598,0.4415,UNDER,0.4415,REVIEW,0.4857,1.1,96
2026-05-24 01:57 ET,2026-05-24,Philadelphia Phillies,Cleveland Guardians,2026-05-24T17:36:00Z,draftkings,batter_hits,Kyle Schwarber,0.5,-151,113,656941.0,hitter,0.448,0.324,0.5617,-0.2376,0.2376,-0.4614,0.4398,UNDER,0.4398,REVIEW,0.4838,1.1,96
2026-05-24 01:57 ET,2026-05-24,Atlanta Braves,Washington Nationals,2026-05-24T20:11:00Z,draftkings,batter_total_bases,James Wood,1.5,121,-161,695578.0,hitter,0.53,0.1145,0.4231,-0.3087,0.3087,-0.747,0.4356,UNDER,0.4356,REVIEW,0.4791,1.1,96
2026-05-24 01:57 ET,2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,2026-05-24T18:11:00Z,draftkings,batter_hits,Christian Yelich,0.5,-160,120,592885.0,hitter,0.49,0.3485,0.5752,-0.2266,0.2266,-0.4336,0.4332,UNDER,0.4332,REVIEW,0.4766,1.1,96
2026-05-24 01:57 ET,2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,2026-05-24T16:16:00Z,draftkings,batter_hits,Oneil Cruz,0.5,-162,122,665833.0,hitter,0.51,0.3598,0.5785,-0.2187,0.2187,-0.4181,0.4212,UNDER,0.4212,REVIEW,0.4633,1.1,96
2026-05-24 01:57 ET,2026-05-24,Kansas City Royals,Seattle Mariners,2026-05-24T18:11:00Z,draftkings,batter_hits,Isaac Collins,0.5,-137,103,686555.0,hitter,0.412,0.3028,0.5399,-0.2371,0.2371,-0.4762,0.4153,UNDER,0.4153,REVIEW,0.4569,1.1,96
