fetched_at,game_date,home_team,away_team,commence_time,sportsbook,market,player_name,line,over_odds,under_odds,mlb_id,kind,proj_value,p_over_model,p_over_no_vig,edge_over,edge_under,ev_over,ev_under,side,ev,flag,score,confidence_weight,confidence_score,clv_stage,logged_at
2026-05-08 00:41 ET,2026-05-08,Baltimore Orioles,Athletics,2026-05-08T23:06:00Z,draftkings,batter_hits,Coby Mayo,0.5,-170,128,691723.0,hitter,1.204,0.7651,0.5894,0.1757,-0.1757,0.2152,-0.4645,OVER,0.2152,VALUE,0.2367,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Milwaukee Brewers,New York Yankees,2026-05-08T23:41:00Z,draftkings,batter_hits,Aaron Judge,0.5,-203,151,592450.0,hitter,1.414,0.8045,0.6271,0.1775,-0.1775,0.2009,-0.5094,OVER,0.2009,VALUE,0.221,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Milwaukee Brewers,New York Yankees,2026-05-08T23:41:00Z,draftkings,batter_total_bases,Aaron Judge,1.5,110,-146,592450.0,hitter,2.05,0.5711,0.4452,0.1259,-0.1259,0.1992,-0.2773,OVER,0.1992,VALUE,0.2192,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Baltimore Orioles,Athletics,2026-05-08T23:06:00Z,draftkings,batter_hits,Jeremiah Jackson,0.5,-203,151,669236.0,hitter,1.334,0.7904,0.6271,0.1633,-0.1633,0.1797,-0.4739,OVER,0.1797,VALUE,0.1977,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Philadelphia Phillies,Colorado Rockies,2026-05-08T22:41:00Z,draftkings,batter_hits,J.T. Realmuto,0.5,-197,147,592663.0,hitter,1.284,0.781,0.621,0.16,-0.16,0.1775,-0.4591,OVER,0.1775,VALUE,0.1952,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Miami Marlins,Washington Nationals,2026-05-08T23:11:00Z,draftkings,batter_hits,Javier Sanoja,0.5,-187,140,691594.0,hitter,1.164,0.7568,0.6099,0.1468,-0.1468,0.1615,-0.4163,OVER,0.1615,VALUE,0.1776,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Baltimore Orioles,Athletics,2026-05-08T23:06:00Z,draftkings,batter_hits,Adley Rutschman,0.5,-234,173,668939.0,hitter,1.394,0.8011,0.6567,0.1444,-0.1444,0.1434,-0.457,OVER,0.1434,VALUE,0.1578,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 00:41 ET,2026-05-08,Philadelphia Phillies,Colorado Rockies,2026-05-08T22:41:00Z,draftkings,batter_hits,Bryce Harper,0.5,-268,197,547180.0,hitter,1.344,0.7922,0.6838,0.1084,-0.1084,0.0878,-0.3829,OVER,0.0878,VALUE,0.0966,1.1,96,open,2026-05-08 00:41 ET
2026-05-08 01:11 ET,2026-05-08,Miami Marlins,Washington Nationals,2026-05-08T23:11:00Z,draftkings,batter_total_bases,Xavier Edwards,1.5,140,-187,669364.0,hitter,5.436,0.9553,0.3901,0.5653,-0.5653,1.2928,-0.9315,OVER,1.2928,VALUE,1.4221,1.1,96,open,2026-05-08 01:11 ET
2026-05-08 01:11 ET,2026-05-08,Miami Marlins,Washington Nationals,2026-05-08T23:11:00Z,draftkings,batter_hits,Otto Lopez,1.5,156,-210,672640.0,hitter,3.007,0.8222,0.3657,0.4565,-0.4565,1.1049,-0.7376,OVER,1.1049,VALUE,1.2154,1.1,96,open,2026-05-08 01:11 ET
2026-05-08 01:11 ET,2026-05-08,Milwaukee Brewers,New York Yankees,2026-05-08T23:41:00Z,draftkings,batter_hits,Ryan McMahon,0.5,109,-145,641857.0,hitter,2.517,0.9255,0.447,0.4784,-0.4784,0.9342,-0.874,OVER,0.9342,VALUE,1.0276,1.1,96,open,2026-05-08 01:11 ET
