feature,importance,target
hr_rate_last30,0.005922087,HR
K_last21,0.005919987,HR
hitter_bb_rate_vs_hand_last10_L,0.0059096175,HR
opp_sp_hr_rate_last10,0.0058985758,HR
h_rate_last21,0.0058573545,HR
ev_spread_last10,0.0058242353,HR
hr_rate_last7,0.0058078123,HR
opp_sp_bb_rate_std,0.0057999706,HR
h_tt_k,0.0057393503,HR
PA_last21,0.0057210177,HR
blast_proxy_std,0.005695579,HR
avg_LA_std,0.005672251,HR
days_since_game,0.005610657,HR
opp_sp_hr_rate_std,0.00560734,HR
H_last30,0.0054981275,HR
K_last10,0.0054499586,HR
team_allowed_k_rate_vs_hand_std,0.0053137275,HR
team_allowed_h_rate_vs_hand_last10,0.0053129215,HR
xbh_proxy_rate_std,0.0053087445,HR
hr_rate_last10,0.005304137,HR
opp_sp_h_rate_last10,0.0052957553,HR
barrel_proxy_last10,0.005198775,HR
HR_last7,0.005196088,HR
hr_rate_last21,0.0051780045,HR
bb_rate_last10,0.005119093,HR
opp_sp_h_rate_std,0.0051093637,HR
hitter_hr_rate_vs_hand_last10_L,0.0050916695,HR
h_rate_last7,0.005069497,HR
bb_rate_last21,0.005059716,HR
H_std,0.0050348886,HR
BB_last7,0.0050039226,HR
hr_rate_last14,0.0049856566,HR
times_on_base_rate_last10,0.0049628383,HR
hard_hit_proxy_last10,0.004949602,HR
opp_sp_bb_rate,0.004939872,HR
K_last14,0.0049160374,HR
BB_last21,0.0048819603,HR
h_tt_h,0.0048563518,HR
opp_sp_k_rate,0.0048362645,HR
bb_rate_last30,0.0047467533,HR
team_allowed_hr_rate_vs_hand_std,0.00469664,HR
max_h_rate_last10,0.0046316963,HR
park_factor,0.004605654,HR
h_rate_last10,0.0045998646,HR
h_rate_last30,0.00458417,HR
k_rate_last21,0.0045595826,HR
hitter_h_rate_vs_hand_last10_R,0.0045348126,HR
opp_sp_k_rate_last10,0.0044548926,HR
k_rate_last10,0.00423038,HR
BB_last14,0.004228001,HR
K_last7,0.0041015917,HR
team_allowed_bb_rate_vs_hand_std,0.004015354,HR
H_last21,0.0037467994,HR
blast_proxy_last10,0.0037015574,HR
H_last10,0.0035655922,HR
opp_sp_bb_rate,0.046593796,BB
BB_std,0.03530615,BB
BB_last30,0.025510926,BB
h_tt_bb,0.019458417,BB
opp_sp_ip,0.018441569,BB
PA_last10,0.0148770735,BB
PA_last7,0.011187605,BB
hitter_bb_rate_vs_hand_std_R,0.011138601,BB
PA_last14,0.010778969,BB
PA_std,0.010191629,BB
hitter_hr_rate_vs_hand_std_R,0.010048619,BB
BB_last21,0.010033305,BB
HR_std,0.009336395,BB
BB_last7,0.009311586,BB
hitter_bb_rate_vs_hand_std_L,0.009290554,BB
PA_last3,0.009167273,BB
HR_last30,0.009109232,BB
PA_last21,0.008919972,BB
BB_last10,0.008462112,BB
hr_rate_std,0.008453441,BB
bb_rate_last7,0.008299309,BB
hitter_k_rate_vs_hand_std_L,0.008186548,BB
PA_last30,0.007957906,BB
BB_last14,0.007912357,BB
hitter_bb_rate_vs_hand_last10_R,0.007884351,BB
hitter_h_rate_vs_hand_std_R,0.0078079035,BB
hitter_h_rate_vs_hand_std_L,0.0077258996,BB
H_last14,0.007717864,BB
H_std,0.0077030635,BB
hitter_bb_rate_vs_hand_last10_L,0.0076392447,BB
hitter_hr_rate_vs_hand_last10_L,0.007600543,BB
hitter_hr_rate_vs_hand_last10_R,0.0075807986,BB
times_on_base_rate_std,0.007533265,BB
H_last30,0.007497563,BB
K_last30,0.007488385,BB
hitter_hr_rate_vs_hand_std_L,0.007475461,BB
HR_last21,0.0073861177,BB
K_std,0.007363089,BB
hitter_h_rate_vs_hand_last10_L,0.0073570535,BB
h_tt_hr,0.0072260406,BB
team_allowed_bb_rate_vs_hand_std,0.0072128973,BB
bb_rate_last14,0.0071983384,BB
k_rate_last14,0.0071721394,BB
hr_rate_last14,0.007158055,BB
barrel_proxy_std,0.007143165,BB
hitter_k_rate_vs_hand_last10_L,0.00709081,BB
bb_rate_last21,0.007039227,BB
hr_rate_last30,0.0069932733,BB
avg_EV_std,0.0069580283,BB
bb_rate_std,0.00692786,BB
max_EV_std,0.006924486,BB
